topik_level,no,korean,english,source,source_doc,source_url
TOPIK I,47,강,river,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,48,강아지,puppy,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,49,강좌,lecture,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,50,갖다,have,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,51,같다,same,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,52,같이,together,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,53,개,"dog, ~ piece(s)",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,54,개나리,forsythia,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,55,개인,individual,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,56,거기,there,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,57,거리,street,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,58,거실,living room,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,59,거울,mirror,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,60,거의,"almost, nearly",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,61,거짓말,lie,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,62,걱정,"anxiety, concern",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,63,걱정하다,worry,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,64,건강,health,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,65,건강하다,be healthy,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,66,건너가다,cross (a road),learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,67,건너다,cross over,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,68,건너편,"other side, opposite side",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,69,건물,building,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,70,건배,"cheers, toast",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,71,걷다,walk,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,72,걸다,"bet, call",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,73,걸리다,"get caught, take (time)",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,74,걸어가다,walk (go),learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
